"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Benchmark Period Mean (intersection)","MeanState","global","scalar","kg m-2","5.04669","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","2.04168","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Period Mean (original grids)","MeanState","global","scalar","kg m-2","2.94591","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Model Period Mean (intersection)","MeanState","global","scalar","kg m-2","4.39011","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","0.258075","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Benchmark Period Mean (intersection)","MeanState","bona","scalar","kg m-2","2.55179","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Benchmark Period Mean (complement)","MeanState","bona","scalar","kg m-2","1.12667","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Period Mean (original grids)","MeanState","bona","scalar","kg m-2","1.67134","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Model Period Mean (intersection)","MeanState","bona","scalar","kg m-2","2.25873","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Model Period Mean (complement)","MeanState","bona","scalar","kg m-2","0.357847","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Spatial Distribution Score","MeanState","global","score","1","0.711756","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Spatial Distribution Score","MeanState","bona","score","1","0.592885","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Bias","MeanState","global","scalar","kg m-2","-0.656584","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Bias Score","MeanState","global","score","1","0.368593","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Bias","MeanState","bona","scalar","kg m-2","-0.293063","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Bias Score","MeanState","bona","score","1","0.411764","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Overall Score","MeanState","global","score","1","0.540174","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Overall Score","MeanState","bona","score","1","0.502325","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Hellinger Distance","Relationships","global","scalar","1","0.312485","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Score","Relationships","global","score","1","0.725738","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Hellinger Distance","Relationships","bona","scalar","1","0.439665","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Score","Relationships","bona","score","1","0.60436","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Precipitation|GPCPv2.3 Hellinger Distance","Relationships","global","scalar","1","0.370657","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Precipitation|GPCPv2.3 Score","Relationships","global","score","1","0.777578","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Precipitation|GPCPv2.3 Hellinger Distance","Relationships","bona","scalar","1","0.363787","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Precipitation|GPCPv2.3 Score","Relationships","bona","score","1","0.640556","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","NearSurfaceAirTemperature|CRU4.02 Hellinger Distance","Relationships","global","scalar","1","0.326595","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","NearSurfaceAirTemperature|CRU4.02 Score","Relationships","global","score","1","0.682737","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","NearSurfaceAirTemperature|CRU4.02 Hellinger Distance","Relationships","bona","scalar","1","0.365983","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","NearSurfaceAirTemperature|CRU4.02 Score","Relationships","bona","score","1","0.663202","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Overall Score","Relationships","global","score","1","0.728685","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Overall Score","Relationships","bona","score","1","0.636039","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Benchmark Period Mean (intersection)","MeanState","global","scalar","kg m-2","4.91425","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","2.93435","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Period Mean (original grids)","MeanState","global","scalar","kg m-2","4.06136","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Model Period Mean (intersection)","MeanState","global","scalar","kg m-2","5.85815","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","1.04344","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Benchmark Period Mean (intersection)","MeanState","bona","scalar","kg m-2","2.52466","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Benchmark Period Mean (complement)","MeanState","bona","scalar","kg m-2","1.09226","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Period Mean (original grids)","MeanState","bona","scalar","kg m-2","3.26496","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Model Period Mean (intersection)","MeanState","bona","scalar","kg m-2","4.82288","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Model Period Mean (complement)","MeanState","bona","scalar","kg m-2","0.458641","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Spatial Distribution Score","MeanState","global","score","1","0.668765","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Spatial Distribution Score","MeanState","bona","score","1","0.83746","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Bias","MeanState","global","scalar","kg m-2","0.928707","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Bias Score","MeanState","global","score","1","0.320455","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Bias","MeanState","bona","scalar","kg m-2","2.27533","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Bias Score","MeanState","bona","score","1","0.303453","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Overall Score","MeanState","global","score","1","0.49461","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Overall Score","MeanState","bona","score","1","0.570457","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Hellinger Distance","Relationships","global","scalar","1","0.320627","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Score","Relationships","global","score","1","0.688987","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Hellinger Distance","Relationships","bona","scalar","1","0.35218","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Score","Relationships","bona","score","1","0.150941","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Precipitation|GPCPv2.3 Hellinger Distance","Relationships","global","scalar","1","0.364469","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Precipitation|GPCPv2.3 Score","Relationships","global","score","1","0.707645","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Precipitation|GPCPv2.3 Hellinger Distance","Relationships","bona","scalar","1","0.334066","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Precipitation|GPCPv2.3 Score","Relationships","bona","score","1","0.167678","20.0"
