"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","Biomass","ABoVE","ISBA-CTRIP","Period Mean (original grids)","MeanState","bona","scalar","g m-2","43.3936","2.0"
"EcosystemandCarbonCycle","Biomass","ABoVE","ISBA-CTRIP","Bias","MeanState","bona","scalar","g m-2","-15.223","2.0"
"EcosystemandCarbonCycle","Biomass","ABoVE","ISBA-CTRIP","Bias Score","MeanState","bona","score","1","0.632233","2.0"
"EcosystemandCarbonCycle","Biomass","ABoVE","ISBA-CTRIP","Phase Shift","MeanState","bona","scalar","months","0.516667","2.0"
"EcosystemandCarbonCycle","Biomass","ABoVE","ISBA-CTRIP","Seasonal Cycle Score","MeanState","bona","score","1","0.96524","2.0"
"EcosystemandCarbonCycle","Biomass","ABoVE","ISBA-CTRIP","RMSE","MeanState","bona","scalar","g m-2","28.905","2.0"
"EcosystemandCarbonCycle","Biomass","ABoVE","ISBA-CTRIP","RMSE Score","MeanState","bona","score","1","0.433219","2.0"
"EcosystemandCarbonCycle","Biomass","ABoVE","ISBA-CTRIP","Overall Score","MeanState","bona","score","1","0.615978","2.0"
"EcosystemandCarbonCycle","Biomass","ABoVE","JULES","Period Mean (original grids)","MeanState","bona","scalar","g m-2","28.6388","2.0"
"EcosystemandCarbonCycle","Biomass","ABoVE","JULES","Bias","MeanState","bona","scalar","g m-2","-29.9778","2.0"
"EcosystemandCarbonCycle","Biomass","ABoVE","JULES","Bias Score","MeanState","bona","score","1","0.437642","2.0"
"EcosystemandCarbonCycle","Biomass","ABoVE","JULES","Phase Shift","MeanState","bona","scalar","months","2.05","2.0"
"EcosystemandCarbonCycle","Biomass","ABoVE","JULES","Seasonal Cycle Score","MeanState","bona","score","1","0.745014","2.0"
"EcosystemandCarbonCycle","Biomass","ABoVE","JULES","RMSE","MeanState","bona","scalar","g m-2","44.6601","2.0"
"EcosystemandCarbonCycle","Biomass","ABoVE","JULES","RMSE Score","MeanState","bona","score","1","0.402614","2.0"
"EcosystemandCarbonCycle","Biomass","ABoVE","JULES","Overall Score","MeanState","bona","score","1","0.496971","2.0"
