"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Benchmark Period Mean (intersection)","MeanState","global","scalar","kg m-2","5.04669","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","2.04168","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Period Mean (original grids)","MeanState","global","scalar","kg m-2","2.94591","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Model Period Mean (intersection)","MeanState","global","scalar","kg m-2","4.39011","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","0.258075","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Spatial Distribution Score","MeanState","global","score","1","0.711756","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Bias","MeanState","global","scalar","kg m-2","-0.656584","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Bias Score","MeanState","global","score","1","0.368593","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Overall Score","MeanState","global","score","1","0.540174","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Hellinger Distance","Relationships","global","scalar","1","0.312485","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Score","Relationships","global","score","1","0.725738","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Precipitation|GPCPv2.3 Hellinger Distance","Relationships","global","scalar","1","0.370657","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Precipitation|GPCPv2.3 Score","Relationships","global","score","1","0.777578","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","NearSurfaceAirTemperature|CRU4.02 Hellinger Distance","Relationships","global","scalar","1","0.326595","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","NearSurfaceAirTemperature|CRU4.02 Score","Relationships","global","score","1","0.682737","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CABLE-POP","Overall Score","Relationships","global","score","1","0.728685","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Benchmark Period Mean (intersection)","MeanState","global","scalar","kg m-2","4.91425","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","2.93435","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Period Mean (original grids)","MeanState","global","scalar","kg m-2","4.06136","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Model Period Mean (intersection)","MeanState","global","scalar","kg m-2","5.85815","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","1.04344","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Spatial Distribution Score","MeanState","global","score","1","0.668765","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Bias","MeanState","global","scalar","kg m-2","0.928707","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Bias Score","MeanState","global","score","1","0.320455","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Overall Score","MeanState","global","score","1","0.49461","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Hellinger Distance","Relationships","global","scalar","1","0.320627","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Score","Relationships","global","score","1","0.688987","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Precipitation|GPCPv2.3 Hellinger Distance","Relationships","global","scalar","1","0.364469","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Precipitation|GPCPv2.3 Score","Relationships","global","score","1","0.707645","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","NearSurfaceAirTemperature|CRU4.02 Hellinger Distance","Relationships","global","scalar","1","0.355287","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","NearSurfaceAirTemperature|CRU4.02 Score","Relationships","global","score","1","0.592821","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLASSIC","Overall Score","Relationships","global","score","1","0.663151","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Benchmark Period Mean (intersection)","MeanState","global","scalar","kg m-2","4.81861","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","1.63198","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Period Mean (original grids)","MeanState","global","scalar","kg m-2","4.2624","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Model Period Mean (intersection)","MeanState","global","scalar","kg m-2","6.95877","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","0.847231","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Spatial Distribution Score","MeanState","global","score","1","0.903942","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Bias","MeanState","global","scalar","kg m-2","2.10761","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Bias Score","MeanState","global","score","1","0.329733","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Overall Score","MeanState","global","score","1","0.616837","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Hellinger Distance","Relationships","global","scalar","1","0.282126","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","SurfaceDownwellingShortwaveRadiation|CERESed4.1 Score","Relationships","global","score","1","0.548264","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Precipitation|GPCPv2.3 Hellinger Distance","Relationships","global","scalar","1","0.318826","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Precipitation|GPCPv2.3 Score","Relationships","global","score","1","0.634916","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","NearSurfaceAirTemperature|CRU4.02 Hellinger Distance","Relationships","global","scalar","1","0.304891","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","NearSurfaceAirTemperature|CRU4.02 Score","Relationships","global","score","1","0.478139","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","CLM5","Overall Score","Relationships","global","score","1","0.553773","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Benchmark Period Mean (intersection)","MeanState","global","scalar","kg m-2","5.04966","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","0.858994","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Period Mean (original grids)","MeanState","global","scalar","kg m-2","2.68051","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Model Period Mean (intersection)","MeanState","global","scalar","kg m-2","3.92833","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","0.337453","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Spatial Distribution Score","MeanState","global","score","1","0.574564","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Bias","MeanState","global","scalar","kg m-2","-1.12133","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Bias Score","MeanState","global","score","1","0.376663","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Overall Score","MeanState","global","score","1","0.475613","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","DLEM","Overall Score","Relationships","global","score","1","0","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","IBIS","Benchmark Period Mean (intersection)","MeanState","global","scalar","kg m-2","5.18239","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","IBIS","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","1.88439","20.0"
