Variables,CABLE-POP,CLASSIC,CLM5,DLEM,IBIS,ISAM,ISBA-CTRIP,JSBACH,JULES,LPJ-GUESS,LPJwsl,LPX-Bern,OCN,ORCHIDEE,ORCHIDEE-CNP,ORCHIDEEv3,SDGVM,VISIT,YIBs
Biomass,0.5845890578944233,0.5412128514272408,0.57122996859402,0.5555506292785953,0.5157088830935047,0.6083521925198371,0.5673928540410819,0.6172653732652422,0.5484663937737728,0.61976008974275,0.5657258032159116,0.5871532795310187,0.6146594848936804,0.6085568302823146,0.5824651778995611,0.6033273419851842,0.5839477998146718,0.5671263973167368,0.6209221267127981
Ecosystem Respiration,0.6390718393432413,0.6385302862058443,0.587999925560957,0.6061920353891482,0.5175348488912201,0.6405850176410154,0.6019162839906051,0.5975151253937128,--,--,0.4098901754198017,0.5850780924316031,0.5965586436263622,0.6503326067393534,0.6133463752471977,0.5892777625145224,0.563761409369955,0.6115506740426003,0.5684285669661865
Leaf Area Index,0.5561588465514501,0.5523507182268036,0.4945635864570472,--,0.4364281796172146,0.6001644997089374,0.6099271597419073,--,0.5292772146665832,0.5333073558985191,--,0.3716649592043453,0.46226420469700774,--,--,0.581315813435551,0.4407076244209962,0.36774844017070973,0.5774027662074196
Gross Primary Production,0.6519311987698725,0.6569458960803265,0.6144105456082847,0.6263533525668924,0.5921017840426832,0.6782898401963514,0.6538417864921806,0.6273998097675897,0.6449428789874013,0.5997942293445626,0.4042051826256727,0.5858692061174458,0.6497705680271366,0.6742367252645298,0.5690368874133453,0.6541286571128327,0.6431557968587877,0.63465754072233,0.598980805830756
Net Ecosystem Exchange,0.39682045653632436,0.37377127762990847,0.406045476795503,0.41281995638566943,0.3971290212774451,0.3957590542262754,0.44504599800800515,0.40666051408546483,0.3847333803370008,--,--,0.41344857067077756,0.3679010630588152,0.4132783556332407,0.36055512425496333,0.41427687980282984,0.38945524844020113,--,0.35475341820199807
Net Primary Production,0.7921705254246487,0.759172403491176,0.7890592633962537,0.7791783445844049,0.6671208834649481,0.8028007681060476,0.8316185327161623,0.7018834038747546,0.7035574786250731,0.7614791614883241,--,0.7627380462804993,0.748858861972852,0.7914164355191284,0.6924328411239624,0.753734720527603,0.7454740007611798,--,0.6384324641408967
Soil Carbon,0.6248514366936422,0.7349695047831398,0.27742415519826585,0.7207636576458565,0.529750054957223,0.6879902496273657,0.7443318119871969,0.6108829240830373,0.5564551489256839,0.7254787966692681,0.6200457411828258,0.40269857696842914,0.7131474732242943,0.5138351452296628,0.6934379864955975,0.680259466023035,0.7251285716071327,0.6559074839339257,0.6958711571732681
Evapotranspiration,0.6830594555184478,0.713839142225669,0.664755767497214,0.7015032718204116,0.6669614707287903,0.6961389539962418,0.7054745442266375,0.6641566906394266,0.7100215646748065,0.6988716761109872,--,0.6532220223251396,0.7041476493076074,0.7328007795916369,0.7098148849702451,0.7248912608185218,0.6516490728234878,0.6893918184716104,--
Surface Downwelling Shortwave Radiation,0.8298062894827879,0.8315627267216578,0.8325021243561794,--,0.2680546464275664,0.8373085337789095,0.8348499925648907,0.8346516484349031,0.8346990679804704,--,--,0.7098245261822884,0.8318334034883562,0.831408422801762,0.8283132991488158,0.831408422801762,0.42161283270698385,0.3917743299096329,0.7169046683469669
Precipitation,0.7977876529731814,0.8196143247599985,0.7818554617462458,--,0.2986530175966964,0.8294834274854761,0.8232463454309802,0.8229990610292853,0.8206678202572903,--,--,0.8271407469444433,0.8242380109443143,0.8226100617454449,0.8034216371703131,0.8226100617454449,0.8267778362039017,0.8301164321694673,--
Near Surface Air Temperature,0.8715174039750346,0.9100143869076933,0.9117776449777413,--,0.9410273029957822,0.966457618758298,0.940033439594338,0.897616522690348,0.9186827094729916,--,--,0.9663589946667227,0.8998379168459936,0.966093217711804,0.9208973892525883,0.966093217711804,0.9396028125256606,0.9661362535649445,0.9365088769980623
