Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Benchmark Period Mean (intersection),MeanState,global,scalar,W m-2,191.36
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Benchmark Period Mean (complement),MeanState,global,scalar,W m-2,185.118
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Period Mean (original grids),MeanState,global,scalar,W m-2,196.505
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Model Period Mean (intersection),MeanState,global,scalar,W m-2,196.483
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Model Period Mean (complement),MeanState,global,scalar,W m-2,nan
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Benchmark Period Mean (intersection),MeanState,bona,scalar,W m-2,120.836
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Benchmark Period Mean (complement),MeanState,bona,scalar,W m-2,109.439
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Period Mean (original grids),MeanState,bona,scalar,W m-2,127.821
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Model Period Mean (intersection),MeanState,bona,scalar,W m-2,128.449
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Model Period Mean (complement),MeanState,bona,scalar,W m-2,nan
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Spatial Distribution Score,MeanState,global,score,1,0.995723
RadiationandEnergyCycle,SurfaceDownwellingShortwaveRadiation,CERESed4.1,JSBACH,Spatial Distribution Score,MeanState,bona,score,1,0.941288
