"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Benchmark Period Mean (intersection)","MeanState","global","scalar","W m-2","191.36","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Benchmark Period Mean (complement)","MeanState","global","scalar","W m-2","185.118","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Period Mean (original grids)","MeanState","global","scalar","W m-2","196.505","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Model Period Mean (intersection)","MeanState","global","scalar","W m-2","196.483","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Model Period Mean (complement)","MeanState","global","scalar","W m-2","nan","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Benchmark Period Mean (intersection)","MeanState","bona","scalar","W m-2","120.836","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Benchmark Period Mean (complement)","MeanState","bona","scalar","W m-2","109.439","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Period Mean (original grids)","MeanState","bona","scalar","W m-2","127.821","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Model Period Mean (intersection)","MeanState","bona","scalar","W m-2","128.449","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Model Period Mean (complement)","MeanState","bona","scalar","W m-2","nan","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Spatial Distribution Score","MeanState","global","score","1","0.995723","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Spatial Distribution Score","MeanState","bona","score","1","0.941288","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Phase Shift","MeanState","global","scalar","months","0.590558","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Seasonal Cycle Score","MeanState","global","score","1","0.937502","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Phase Shift","MeanState","bona","scalar","months","0.370321","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Seasonal Cycle Score","MeanState","bona","score","1","0.975469","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Bias","MeanState","global","scalar","W m-2","5.11622","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Bias Score","MeanState","global","score","1","0.755634","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Bias","MeanState","bona","scalar","W m-2","7.65668","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Bias Score","MeanState","bona","score","1","0.901744","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","RMSE","MeanState","global","scalar","W m-2","19.4923","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","RMSE Score","MeanState","global","score","1","0.78457","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","RMSE","MeanState","bona","scalar","W m-2","20.6175","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","RMSE Score","MeanState","bona","score","1","0.826215","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Overall Score","MeanState","global","score","1","0.8516","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JSBACH","Overall Score","MeanState","bona","score","1","0.894186","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JULES","Benchmark Period Mean (intersection)","MeanState","global","scalar","W m-2","190.962","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JULES","Benchmark Period Mean (complement)","MeanState","global","scalar","W m-2","184.882","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JULES","Period Mean (original grids)","MeanState","global","scalar","W m-2","195.556","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JULES","Model Period Mean (intersection)","MeanState","global","scalar","W m-2","195.556","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JULES","Model Period Mean (complement)","MeanState","global","scalar","W m-2","nan","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JULES","Benchmark Period Mean (intersection)","MeanState","bona","scalar","W m-2","119.146","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JULES","Benchmark Period Mean (complement)","MeanState","bona","scalar","W m-2","108.572","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JULES","Period Mean (original grids)","MeanState","bona","scalar","W m-2","124.593","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JULES","Model Period Mean (intersection)","MeanState","bona","scalar","W m-2","124.609","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JULES","Model Period Mean (complement)","MeanState","bona","scalar","W m-2","nan","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JULES","Spatial Distribution Score","MeanState","global","score","1","0.996662","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JULES","Spatial Distribution Score","MeanState","bona","score","1","0.950728","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JULES","Phase Shift","MeanState","global","scalar","months","0.576094","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JULES","Seasonal Cycle Score","MeanState","global","score","1","0.938426","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JULES","Phase Shift","MeanState","bona","scalar","months","0.352137","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JULES","Seasonal Cycle Score","MeanState","bona","score","1","0.976674","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JULES","Bias","MeanState","global","scalar","W m-2","4.59501","1.0"
"RadiationandEnergyCycle","SurfaceDownwellingShortwaveRadiation","CERESed4.1","JULES","Bias Score","MeanState","global","score","1","0.759501","1.0"
